movieId,rating,userId,MovieIdsNew
2,3.5,0,1
29,3.5,0,25
32,3.5,0,27
47,3.5,0,37
50,3.5,0,39
112,3.5,0,73
151,4.0,0,85
223,4.0,0,124
253,4.0,0,143
260,4.0,0,146
293,4.0,0,163
296,4.0,0,164
318,4.0,0,176
337,3.5,0,184
367,3.5,0,205
541,4.0,0,288
589,3.5,0,306
593,3.5,0,309
653,3.0,0,326
919,3.5,0,402
924,3.5,0,407
1009,3.5,0,434
1036,4.0,0,454
1079,4.0,0,468
1080,3.5,0,469
1089,3.5,0,475
1090,4.0,0,476
1097,4.0,0,483
1136,3.5,0,498
1193,3.5,0,515
1196,4.5,0,517
1198,4.5,0,519
1200,4.0,0,521
1201,3.0,0,522
1208,3.5,0,527
1214,4.0,0,533
1215,4.0,0,534
1217,3.5,0,535
1219,4.0,0,537
1222,3.5,0,540
1240,4.0,0,554
1243,3.0,0,557
1246,3.5,0,560
1249,4.0,0,563
1258,4.0,0,571
1259,4.0,0,572
1261,3.5,0,574
1262,3.5,0,575
1266,4.0,0,579
1278,4.0,0,591
1291,3.5,0,604
1304,3.0,0,616
1321,4.0,0,620
1333,4.0,0,622
1348,3.5,0,630
1350,3.5,0,631
1358,4.0,0,636
1370,3.0,0,640
1374,4.0,0,644
1387,4.0,0,653
1584,3.5,0,703
1920,3.5,0,799
1967,4.0,0,824
1994,3.5,0,832
1997,3.5,0,833
2021,4.0,0,850
2100,4.0,0,882
2118,4.0,0,893
2138,4.0,0,904
2140,4.0,0,906
2143,4.0,0,909
2174,4.0,0,919
2193,4.0,0,924
2194,3.5,0,925
2253,3.5,0,934
2288,4.0,0,942
2291,4.0,0,944
2542,4.0,0,1050
2628,4.0,0,1066
2648,3.5,0,1071
2664,3.5,0,1074
2683,3.5,0,1079
2692,3.5,0,1084
2716,3.5,0,1096
2761,3.0,0,1117
2762,4.0,0,1118
2804,3.5,0,1131
2872,4.0,0,1145
2918,3.5,0,1156
2944,4.0,0,1162
2947,3.5,0,1164
2959,4.0,0,1170
2968,4.0,0,1172
3000,3.5,0,1185
3030,3.0,0,1194
3037,3.5,0,1198
3081,4.0,0,1210
3265,3.5,0,1263
3438,3.5,0,1300
3476,3.5,0,1311
3479,4.0,0,1313
3489,4.0,0,1317
3499,4.0,0,1319
3996,4.0,0,1423
4011,4.0,0,1431
4027,4.0,0,1441
4105,3.5,0,1455
4128,4.0,0,1457
4226,3.5,0,1463
4306,4.0,0,1474
4446,3.5,0,1492
4467,4.0,0,1495
4571,4.0,0,1501
4720,3.5,0,1514
4878,3.5,0,1527
4896,4.0,0,1533
4980,3.5,0,1542
4993,5.0,0,1544
5026,4.0,0,1552
5171,4.0,0,1562
5679,3.5,0,1604
5816,4.0,0,1612
5952,5.0,0,1621
6242,3.5,0,1639
6333,4.0,0,1647
6502,3.5,0,1657
6539,4.0,0,1661
6754,4.0,0,1678
6755,3.5,0,1679
6774,4.0,0,1681
6807,3.5,0,1684
6888,3.0,0,1691
7153,5.0,0,1708
7387,3.5,0,1728
7438,4.0,0,1729
7454,4.0,0,1733
7482,3.0,0,1735
8368,4.0,0,1743
8636,4.5,0,1752
8961,4.0,0,1776
31696,4.0,0,1802
3,4.0,1,2
62,5.0,1,45
70,5.0,1,50
110,4.0,1,71
260,5.0,1,146
266,5.0,1,150
480,5.0,1,252
541,5.0,1,288
589,5.0,1,306
891,2.0,1,385
908,4.0,1,393
924,5.0,1,407
1196,5.0,1,517
1210,5.0,1,529
1214,5.0,1,533
1249,5.0,1,563
1259,5.0,1,572
1270,5.0,1,583
1327,5.0,1,621
1356,5.0,1,634
1544,5.0,1,695
1580,4.0,1,702
1673,4.0,1,735
1748,5.0,1,761
1965,3.0,1,823
1969,2.0,1,826
1970,2.0,1,827
1971,2.0,1,828
1974,5.0,1,829
2291,2.0,1,944
2454,4.0,1,1022
2455,4.0,1,1023
2791,2.0,1,1125
2858,3.0,1,1140
2948,5.0,1,1165
2951,4.0,1,1168
3159,3.0,1,1233
3173,4.0,1,1236
3450,5.0,1,1304
3513,5.0,1,1327
3534,3.0,1,1331
3555,4.0,1,1338
3703,4.0,1,1368
3753,4.0,1,1380
3959,5.0,1,1407
1,4.0,2,0
24,3.0,2,21
32,4.0,2,27
50,5.0,2,39
160,3.0,2,91
173,2.0,2,101
175,5.0,2,103
196,3.0,2,114
223,5.0,2,124
260,5.0,2,146
316,5.0,2,174
318,5.0,2,176
329,5.0,2,181
337,3.0,2,184
440,3.0,2,236
442,3.0,2,238
457,5.0,2,244
480,5.0,2,252
490,5.0,2,257
541,5.0,2,288
589,4.0,2,306
593,5.0,2,309
610,4.0,2,318
780,3.0,2,356
788,4.0,2,363
858,5.0,2,380
904,5.0,2,391
905,3.0,2,392
919,4.0,2,402
924,5.0,2,407
953,5.0,2,422
968,3.0,2,426
1037,3.0,2,455
1060,5.0,2,462
1073,5.0,2,465
1077,4.0,2,466
1079,4.0,2,468
1084,5.0,2,472
1089,5.0,2,475
1094,4.0,2,480
1097,5.0,2,483
1103,4.0,2,486
1125,4.0,2,491
1127,3.0,2,493
1129,5.0,2,494
1179,3.0,2,508
1188,2.0,2,512
1193,4.0,2,515
1196,5.0,2,517
1197,5.0,2,518
1198,5.0,2,519
1199,4.0,2,520
1200,4.0,2,521
1206,5.0,2,525
1208,5.0,2,527
1210,5.0,2,529
1213,5.0,2,532
1214,5.0,2,533
1215,4.0,2,534
1219,4.0,2,537
1220,5.0,2,538
1221,5.0,2,539
1222,5.0,2,540
1225,3.0,2,543
1228,3.0,2,546
1230,5.0,2,547
1240,5.0,2,554
1242,5.0,2,556
